customer_id,credit_card_number,credit_limit,credit_score,annual_income,employment_status,loan_amount,loan_purpose,loan_term,interest_rate,Debt_to_Income,Missed_Payments,Loan_Default_History,Credit_History_Years
15,5002350992481156,16081.5,388,129201.98,error: undefined method `first' for nil:NilClass,144287.74,error: undefined method `first' for nil:NilClass,82,13.72,0.932,19,true,0.1
16,6759322733559957974,23454.48,375,103997.92,error: undefined method `first' for nil:NilClass,43733.99,error: undefined method `first' for nil:NilClass,46,3.22,0.629,6,false,29.2
17,4913883695850914,5707.53,523,309902.49,error: undefined method `first' for nil:NilClass,180334.65,error: undefined method `first' for nil:NilClass,54,25.99,0.534,13,false,27.4
18,3558244419504398,4319.06,750,292168.69,error: undefined method `first' for nil:NilClass,44006.93,error: undefined method `first' for nil:NilClass,7,7.68,0.438,13,true,35.6
19,3581061242896226,6936.7,632,97151.88,error: undefined method `first' for nil:NilClass,156011.74,error: undefined method `first' for nil:NilClass,79,14.05,0.638,17,false,12.9
20,3573637286348776,1537.0,685,40758.05,error: undefined method `first' for nil:NilClass,58351.41,error: undefined method `first' for nil:NilClass,31,35.31,0.84,17,true,20.2
21,201731005668659,49749.31,626,459529.3,error: undefined method `first' for nil:NilClass,52666.56,error: undefined method `first' for nil:NilClass,48,32.82,0.893,22,false,0.7
22,56109101617660566,24788.42,692,355926.09,error: undefined method `first' for nil:NilClass,192443.44,error: undefined method `first' for nil:NilClass,10,2.73,0.387,20,false,3.1
23,3569186841861804,20335.87,592,233494.42,error: undefined method `first' for nil:NilClass,55252.59,error: undefined method `first' for nil:NilClass,64,23.42,0.297,18,false,9.8
24,5602216777132059057,34660.97,599,136546.89,error: undefined method `first' for nil:NilClass,125656.71,error: undefined method `first' for nil:NilClass,9,22.19,0.2,8,true,38.0
25,30502472434355,7912.1,442,471506.0,error: undefined method `first' for nil:NilClass,160155.32,error: undefined method `first' for nil:NilClass,52,28.96,0.045,7,true,16.2
26,56109524877965625,29558.69,842,353926.61,error: undefined method `first' for nil:NilClass,33702.78,error: undefined method `first' for nil:NilClass,76,31.35,0.156,21,false,6.2
27,4175009469535753,30638.12,691,207702.56,error: undefined method `first' for nil:NilClass,92487.76,error: undefined method `first' for nil:NilClass,57,28.45,0.128,2,true,26.7
28,4175005546103870,27007.74,456,147358.72,error: undefined method `first' for nil:NilClass,38409.57,error: undefined method `first' for nil:NilClass,31,13.19,0.935,14,true,33.5
29,30375715380580,23575.46,463,401866.5,error: undefined method `first' for nil:NilClass,76890.38,error: undefined method `first' for nil:NilClass,56,29.25,0.041,21,true,32.0
30,5010124068147011,26136.05,674,490148.33,error: undefined method `first' for nil:NilClass,128152.89,error: undefined method `first' for nil:NilClass,46,8.74,0.25,0,false,17.6
31,4041370602638157,30150.87,492,312503.5,error: undefined method `first' for nil:NilClass,54316.79,error: undefined method `first' for nil:NilClass,48,15.95,0.082,5,false,38.5
32,3528738585648431,19230.02,516,194087.81,error: undefined method `first' for nil:NilClass,98268.29,error: undefined method `first' for nil:NilClass,24,28.58,0.394,2,false,14.5
33,5245460296431174,15654.77,301,314929.9,error: undefined method `first' for nil:NilClass,187097.77,error: undefined method `first' for nil:NilClass,37,18.39,0.337,16,true,18.7
34,3578465254687271,6278.1,389,245522.09,error: undefined method `first' for nil:NilClass,86070.34,error: undefined method `first' for nil:NilClass,44,1.8,0.91,14,false,28.7
35,3534593683949658,26437.88,530,122752.78,error: undefined method `first' for nil:NilClass,121622.42,error: undefined method `first' for nil:NilClass,26,32.54,0.786,12,true,5.7
36,3532386160439810,39927.86,368,411365.35,error: undefined method `first' for nil:NilClass,91897.4,error: undefined method `first' for nil:NilClass,74,27.73,0.788,21,false,0.2
37,3581537141265639,15062.49,767,139198.77,error: undefined method `first' for nil:NilClass,159241.48,error: undefined method `first' for nil:NilClass,29,15.98,0.126,16,true,25.5
38,5602221447904189,45131.93,516,134881.72,error: undefined method `first' for nil:NilClass,129603.61,error: undefined method `first' for nil:NilClass,83,17.24,0.527,10,false,21.7
39,5100170079566377,40803.1,351,422998.25,error: undefined method `first' for nil:NilClass,38205.85,error: undefined method `first' for nil:NilClass,35,14.68,0.305,14,true,6.0
40,3542560141842031,40260.93,702,237010.99,error: undefined method `first' for nil:NilClass,183754.09,error: undefined method `first' for nil:NilClass,56,32.94,0.461,17,false,2.5
41,3580427378264581,9857.33,427,283868.92,error: undefined method `first' for nil:NilClass,119897.18,error: undefined method `first' for nil:NilClass,14,19.52,0.443,9,true,1.0
42,4041378454896,47989.02,424,235289.54,error: undefined method `first' for nil:NilClass,32454.6,error: undefined method `first' for nil:NilClass,80,15.46,0.654,13,true,33.8
43,5602252736131051,21108.1,543,303861.02,error: undefined method `first' for nil:NilClass,40108.51,error: undefined method `first' for nil:NilClass,76,19.02,0.919,11,false,24.2
44,201710244359783,35497.0,830,100143.53,error: undefined method `first' for nil:NilClass,123264.27,error: undefined method `first' for nil:NilClass,28,18.69,0.892,3,false,23.8
45,56022162627682960,22234.7,423,233078.97,error: undefined method `first' for nil:NilClass,127812.52,error: undefined method `first' for nil:NilClass,23,32.43,0.802,17,true,23.0
46,3588615359700787,2431.24,392,130037.43,error: undefined method `first' for nil:NilClass,148856.93,error: undefined method `first' for nil:NilClass,39,6.08,0.039,16,true,29.8
47,3543287950270950,3580.54,720,272283.3,error: undefined method `first' for nil:NilClass,170222.36,error: undefined method `first' for nil:NilClass,47,25.61,0.791,6,true,3.8
48,3556934576260287,12579.48,604,349631.39,error: undefined method `first' for nil:NilClass,16265.74,error: undefined method `first' for nil:NilClass,50,12.51,0.886,9,false,8.1
49,5641821319490713,37547.23,646,29954.79,error: undefined method `first' for nil:NilClass,193807.56,error: undefined method `first' for nil:NilClass,64,18.59,0.253,21,true,23.5
50,3528529798379801,47996.35,606,465262.31,error: undefined method `first' for nil:NilClass,165125.44,error: undefined method `first' for nil:NilClass,38,35.45,0.261,24,true,39.6
51,5602243892553915,14945.79,554,57101.51,error: undefined method `first' for nil:NilClass,121606.36,error: undefined method `first' for nil:NilClass,6,5.06,0.115,7,false,37.2
52,3550670681330641,15139.99,838,378253.55,error: undefined method `first' for nil:NilClass,193382.64,error: undefined method `first' for nil:NilClass,54,17.75,0.464,20,false,38.7
53,5588681835043692,6550.75,521,294713.2,error: undefined method `first' for nil:NilClass,148814.76,error: undefined method `first' for nil:NilClass,84,21.07,0.632,9,true,24.6
54,5175155635440761,19861.18,616,108669.86,error: undefined method `first' for nil:NilClass,44007.53,error: undefined method `first' for nil:NilClass,18,5.24,0.893,18,false,11.8
55,3571210067917508,37762.27,667,252795.19,error: undefined method `first' for nil:NilClass,56569.68,error: undefined method `first' for nil:NilClass,18,33.1,0.186,8,false,37.7
56,5100131817420582,38162.58,440,290506.53,error: undefined method `first' for nil:NilClass,124608.65,error: undefined method `first' for nil:NilClass,30,34.57,0.483,20,false,11.7
57,5641823694420685985,41787.67,840,429283.15,error: undefined method `first' for nil:NilClass,13549.31,error: undefined method `first' for nil:NilClass,68,20.52,0.426,1,false,34.8
58,6376710855838949,21967.53,490,399007.66,error: undefined method `first' for nil:NilClass,195131.41,error: undefined method `first' for nil:NilClass,45,28.76,0.038,5,false,8.4
59,670902986660852202,48293.1,665,491919.25,error: undefined method `first' for nil:NilClass,144246.68,error: undefined method `first' for nil:NilClass,12,1.62,0.579,0,false,22.6
60,3563126422973475,26931.98,845,384697.02,error: undefined method `first' for nil:NilClass,56524.76,error: undefined method `first' for nil:NilClass,46,8.98,0.199,17,true,14.6
61,5100143458288046,3732.86,522,283722.09,error: undefined method `first' for nil:NilClass,159902.04,error: undefined method `first' for nil:NilClass,82,26.53,0.546,3,true,21.2
62,3573649823263947,40166.84,718,280569.34,error: undefined method `first' for nil:NilClass,119043.21,error: undefined method `first' for nil:NilClass,63,11.12,0.128,0,true,5.7
63,3581926843442697,30859.18,356,302419.22,error: undefined method `first' for nil:NilClass,39488.89,error: undefined method `first' for nil:NilClass,18,19.96,0.753,1,false,19.8
64,201762574723229,27297.41,330,283961.37,error: undefined method `first' for nil:NilClass,141851.92,error: undefined method `first' for nil:NilClass,9,14.75,0.535,14,false,33.1
65,3587032429336488,40910.59,563,356188.25,error: undefined method `first' for nil:NilClass,191494.06,error: undefined method `first' for nil:NilClass,14,32.1,0.778,18,true,13.8
66,4405231987525825,4138.53,719,209343.5,error: undefined method `first' for nil:NilClass,62239.47,error: undefined method `first' for nil:NilClass,71,21.68,0.454,18,false,12.7
67,5020162673241132,18587.99,321,158635.34,error: undefined method `first' for nil:NilClass,5659.82,error: undefined method `first' for nil:NilClass,16,25.57,0.452,11,true,11.0
68,3573863564216432,31831.73,571,489731.55,error: undefined method `first' for nil:NilClass,93858.94,error: undefined method `first' for nil:NilClass,46,30.74,0.389,22,true,36.5
69,589314451699062863,31785.23,832,250586.62,error: undefined method `first' for nil:NilClass,28490.02,error: undefined method `first' for nil:NilClass,14,14.07,0.471,19,false,28.8
70,3566161145746640,33948.92,459,480260.5,error: undefined method `first' for nil:NilClass,101034.22,error: undefined method `first' for nil:NilClass,38,16.23,0.677,16,true,4.9
71,493674691363587021,5574.28,613,401974.26,error: undefined method `first' for nil:NilClass,156813.63,error: undefined method `first' for nil:NilClass,35,20.3,0.092,17,false,15.5
72,30500384128479,3922.53,443,263885.0,error: undefined method `first' for nil:NilClass,127396.08,error: undefined method `first' for nil:NilClass,15,2.69,0.234,6,true,12.4
73,4508509378554777,29129.59,491,117312.46,error: undefined method `first' for nil:NilClass,125520.96,error: undefined method `first' for nil:NilClass,60,18.06,0.641,7,true,2.7
74,5893861371371331,36166.36,755,277734.27,error: undefined method `first' for nil:NilClass,120360.62,error: undefined method `first' for nil:NilClass,7,2.32,0.844,14,true,14.4
75,3548961017000692,8145.6,775,268228.27,error: undefined method `first' for nil:NilClass,161296.87,error: undefined method `first' for nil:NilClass,46,16.31,0.426,4,true,39.8
76,5002358902602811,29933.6,783,308930.34,error: undefined method `first' for nil:NilClass,112815.69,error: undefined method `first' for nil:NilClass,22,35.37,0.619,14,false,7.5
77,501885660719149013,29111.62,699,253050.13,error: undefined method `first' for nil:NilClass,58745.6,error: undefined method `first' for nil:NilClass,17,8.62,0.967,6,false,8.8
78,3559285674509894,24405.48,661,199602.82,error: undefined method `first' for nil:NilClass,174662.15,error: undefined method `first' for nil:NilClass,26,14.98,0.503,23,true,29.9
79,3576545296180534,40278.94,530,398356.56,error: undefined method `first' for nil:NilClass,124138.52,error: undefined method `first' for nil:NilClass,6,7.71,0.517,10,false,26.1
80,3552201178184180,19729.14,729,406932.87,error: undefined method `first' for nil:NilClass,20593.49,error: undefined method `first' for nil:NilClass,76,8.59,0.129,16,true,23.4
81,30502990108937,38143.51,388,311076.89,error: undefined method `first' for nil:NilClass,54284.7,error: undefined method `first' for nil:NilClass,39,18.3,0.98,20,false,22.3
82,201848578804170,4173.89,509,159189.36,error: undefined method `first' for nil:NilClass,175710.7,error: undefined method `first' for nil:NilClass,49,25.21,0.297,23,true,16.9
83,5020406131713905,33635.69,778,331299.21,error: undefined method `first' for nil:NilClass,180551.96,error: undefined method `first' for nil:NilClass,14,31.06,0.766,6,true,27.3
84,3587024040030616,16003.54,511,72135.04,error: undefined method `first' for nil:NilClass,41477.48,error: undefined method `first' for nil:NilClass,54,35.16,0.488,4,true,35.7
85,6761966735738130081,2360.35,640,186557.91,error: undefined method `first' for nil:NilClass,168465.98,error: undefined method `first' for nil:NilClass,41,32.48,0.151,22,true,18.2
86,30311623150062,13301.87,783,482955.95,error: undefined method `first' for nil:NilClass,199817.16,error: undefined method `first' for nil:NilClass,28,7.32,0.173,18,false,27.4
87,6771323973331283,39988.14,675,432207.5,error: undefined method `first' for nil:NilClass,152924.41,error: undefined method `first' for nil:NilClass,36,9.09,0.452,7,false,26.0
88,50384327517234835,42385.69,329,447611.6,error: undefined method `first' for nil:NilClass,147770.41,error: undefined method `first' for nil:NilClass,59,33.56,0.618,7,true,33.6
89,5541565931077371,26452.79,609,367779.52,error: undefined method `first' for nil:NilClass,53071.45,error: undefined method `first' for nil:NilClass,13,5.26,0.664,9,true,32.9
90,3530832224216142,35840.54,319,179819.42,error: undefined method `first' for nil:NilClass,150388.22,error: undefined method `first' for nil:NilClass,15,9.93,0.099,8,false,12.3
91,3581353588371769,39792.1,481,25493.84,error: undefined method `first' for nil:NilClass,126866.58,error: undefined method `first' for nil:NilClass,19,34.3,0.203,13,true,15.7
92,3545829437301284,43240.35,367,150548.17,error: undefined method `first' for nil:NilClass,100462.6,error: undefined method `first' for nil:NilClass,79,34.64,0.862,2,true,25.3
93,5602257526082034,22882.59,736,76581.28,error: undefined method `first' for nil:NilClass,95411.89,error: undefined method `first' for nil:NilClass,81,18.04,0.754,0,true,15.2
94,5100146321872706,4832.4,732,180735.14,error: undefined method `first' for nil:NilClass,187610.6,error: undefined method `first' for nil:NilClass,43,15.15,0.576,8,false,18.0
95,6377300410673012,49772.18,506,123600.21,error: undefined method `first' for nil:NilClass,148912.17,error: undefined method `first' for nil:NilClass,47,31.39,0.002,23,true,25.8
96,3544364007741926,46665.03,598,481816.49,error: undefined method `first' for nil:NilClass,180620.76,error: undefined method `first' for nil:NilClass,57,1.79,0.569,6,true,6.1
97,3568908601721741,43815.44,615,330787.14,error: undefined method `first' for nil:NilClass,61823.54,error: undefined method `first' for nil:NilClass,81,33.79,0.034,0,true,20.0
98,377691939804564,29044.14,380,370129.11,error: undefined method `first' for nil:NilClass,69123.39,error: undefined method `first' for nil:NilClass,43,33.94,0.88,14,true,24.5
99,4175001520915504,39292.7,506,391601.49,error: undefined method `first' for nil:NilClass,199640.17,error: undefined method `first' for nil:NilClass,54,18.78,0.826,2,false,21.1
100,3548847016022722,34888.84,780,465290.73,error: undefined method `first' for nil:NilClass,193488.37,error: undefined method `first' for nil:NilClass,56,7.0,0.658,20,true,37.3
101,6394468895172138,847.9,534,354903.46,error: undefined method `first' for nil:NilClass,69710.46,error: undefined method `first' for nil:NilClass,61,8.12,0.648,16,false,0.6
102,3560632289652782,29605.27,796,441679.04,error: undefined method `first' for nil:NilClass,60519.95,error: undefined method `first' for nil:NilClass,70,19.18,0.665,12,false,17.6
103,67061208553387980,23465.31,422,492882.15,error: undefined method `first' for nil:NilClass,164332.16,error: undefined method `first' for nil:NilClass,67,2.71,0.196,7,true,34.7
104,676160373007094166,44843.61,698,150116.57,error: undefined method `first' for nil:NilClass,186684.08,error: undefined method `first' for nil:NilClass,70,21.7,0.103,12,false,10.9
105,5580935242081861,19645.44,331,282355.82,error: undefined method `first' for nil:NilClass,89702.07,error: undefined method `first' for nil:NilClass,26,10.0,0.352,24,true,34.7
106,5641820191530088450,25715.52,488,267681.86,error: undefined method `first' for nil:NilClass,92633.38,error: undefined method `first' for nil:NilClass,15,24.22,0.515,5,true,6.5
107,3559270642061061,35410.47,614,171412.16,error: undefined method `first' for nil:NilClass,170898.97,error: undefined method `first' for nil:NilClass,52,2.58,0.318,21,true,5.8
108,374283401369988,21878.15,608,106103.1,error: undefined method `first' for nil:NilClass,123342.47,error: undefined method `first' for nil:NilClass,43,27.33,0.627,17,false,13.1
109,6331109385850686,44197.92,762,417191.98,error: undefined method `first' for nil:NilClass,30567.03,error: undefined method `first' for nil:NilClass,16,31.05,0.563,21,false,7.1
110,3531898530694537,16665.49,755,491220.55,error: undefined method `first' for nil:NilClass,100236.5,error: undefined method `first' for nil:NilClass,25,14.99,0.227,17,false,8.5
111,3536899031694559,45829.42,501,319712.15,error: undefined method `first' for nil:NilClass,143376.57,error: undefined method `first' for nil:NilClass,13,1.53,0.261,8,false,35.8
112,5602246960162857,14074.19,329,241386.51,error: undefined method `first' for nil:NilClass,22450.6,error: undefined method `first' for nil:NilClass,26,29.04,0.227,16,false,39.2
113,5602229354639359,39683.29,773,414216.43,error: undefined method `first' for nil:NilClass,85833.86,error: undefined method `first' for nil:NilClass,48,16.78,0.892,4,false,3.0
114,3560387125953288,16526.95,704,252345.62,error: undefined method `first' for nil:NilClass,147849.9,error: undefined method `first' for nil:NilClass,12,25.26,0.003,0,false,39.8
115,3567421596883394,6836.83,354,102303.51,error: undefined method `first' for nil:NilClass,77602.4,error: undefined method `first' for nil:NilClass,22,14.04,0.029,3,false,26.3
116,5602257707274053,12937.13,359,366876.65,error: undefined method `first' for nil:NilClass,25283.34,error: undefined method `first' for nil:NilClass,50,23.05,0.62,0,false,30.8
117,3556555476153510,17760.54,628,437835.04,error: undefined method `first' for nil:NilClass,193193.22,error: undefined method `first' for nil:NilClass,49,23.05,0.594,23,false,27.8
118,3547847104013188,20849.38,758,296043.4,error: undefined method `first' for nil:NilClass,90574.34,error: undefined method `first' for nil:NilClass,33,22.58,0.57,17,true,12.6
119,5510466653579594,10166.09,721,172167.2,error: undefined method `first' for nil:NilClass,53676.38,error: undefined method `first' for nil:NilClass,7,11.39,0.943,5,false,20.8
120,4041590082721278,10889.63,754,51166.4,error: undefined method `first' for nil:NilClass,111545.61,error: undefined method `first' for nil:NilClass,67,35.02,0.669,21,true,5.1
121,30556352693829,35882.15,743,33410.22,error: undefined method `first' for nil:NilClass,5086.14,error: undefined method `first' for nil:NilClass,51,20.49,0.222,3,true,27.1
122,337941306456145,45425.05,438,212090.83,error: undefined method `first' for nil:NilClass,1748.51,error: undefined method `first' for nil:NilClass,8,23.37,0.416,1,false,34.7
123,4017952947190,2867.9,737,407540.0,error: undefined method `first' for nil:NilClass,131095.05,error: undefined method `first' for nil:NilClass,77,35.63,0.651,0,true,17.3
124,3582326814924824,22910.49,696,490202.58,error: undefined method `first' for nil:NilClass,38740.84,error: undefined method `first' for nil:NilClass,36,22.61,0.531,7,false,27.7
125,3533662865485426,4028.09,818,19395.7,error: undefined method `first' for nil:NilClass,167514.5,error: undefined method `first' for nil:NilClass,75,28.18,0.777,16,true,2.6
126,3569011727604740,13755.09,551,49507.39,error: undefined method `first' for nil:NilClass,186462.97,error: undefined method `first' for nil:NilClass,80,26.19,0.493,2,false,27.6
127,4017950105479827,10964.07,648,459831.61,error: undefined method `first' for nil:NilClass,119975.27,error: undefined method `first' for nil:NilClass,11,21.47,0.497,4,false,23.9
128,6767143870101779,28602.86,766,134668.5,error: undefined method `first' for nil:NilClass,57913.49,error: undefined method `first' for nil:NilClass,34,9.68,0.445,8,false,21.1
129,372301251690717,10003.82,350,498055.48,error: undefined method `first' for nil:NilClass,132590.49,error: undefined method `first' for nil:NilClass,78,22.35,0.687,18,false,30.1
130,30140144236526,27226.67,554,183919.44,error: undefined method `first' for nil:NilClass,8945.71,error: undefined method `first' for nil:NilClass,73,16.73,0.158,10,false,19.4
131,3555273014622795,31655.54,607,99803.69,error: undefined method `first' for nil:NilClass,47054.04,error: undefined method `first' for nil:NilClass,60,23.53,0.629,1,true,16.4
132,5610951463929112,10540.39,422,240886.43,error: undefined method `first' for nil:NilClass,141096.22,error: undefined method `first' for nil:NilClass,7,30.39,0.199,6,false,36.0
133,3546942466375753,2397.61,760,211986.78,error: undefined method `first' for nil:NilClass,49620.91,error: undefined method `first' for nil:NilClass,11,23.92,0.968,8,true,35.4
134,5602219167835732,43752.32,632,341814.76,error: undefined method `first' for nil:NilClass,121173.72,error: undefined method `first' for nil:NilClass,52,1.98,0.692,3,true,10.1
135,3550629045401274,4604.0,676,371954.49,error: undefined method `first' for nil:NilClass,77135.95,error: undefined method `first' for nil:NilClass,45,6.8,0.723,3,false,1.6
136,3544364845660106,10316.48,428,463633.95,error: undefined method `first' for nil:NilClass,71313.65,error: undefined method `first' for nil:NilClass,60,11.06,0.256,13,true,14.2
137,560221934004255853,39092.17,335,353322.84,error: undefined method `first' for nil:NilClass,138156.48,error: undefined method `first' for nil:NilClass,61,24.05,0.485,18,false,5.0
138,201885821117315,19814.42,451,220199.58,error: undefined method `first' for nil:NilClass,21761.37,error: undefined method `first' for nil:NilClass,44,19.0,0.691,11,false,30.8
139,5038950484770871,9243.2,403,293970.8,error: undefined method `first' for nil:NilClass,174789.16,error: undefined method `first' for nil:NilClass,49,33.36,0.92,15,false,10.7
140,3548982517874576,5522.73,465,307249.09,error: undefined method `first' for nil:NilClass,169364.03,error: undefined method `first' for nil:NilClass,40,25.32,0.395,17,false,39.1
141,201725192110137,37793.23,829,151567.22,error: undefined method `first' for nil:NilClass,48156.07,error: undefined method `first' for nil:NilClass,57,32.39,0.195,3,false,8.0
142,201961749038410,44761.94,566,402717.48,error: undefined method `first' for nil:NilClass,141778.8,error: undefined method `first' for nil:NilClass,13,2.17,0.106,15,false,25.0
143,3587539107324958,21809.18,486,196878.69,error: undefined method `first' for nil:NilClass,11226.02,error: undefined method `first' for nil:NilClass,27,14.88,0.482,11,true,0.9
144,3537749268122221,19426.72,542,243916.84,error: undefined method `first' for nil:NilClass,18798.04,error: undefined method `first' for nil:NilClass,38,2.23,0.154,8,true,37.1
145,36688450712708,12198.87,835,456148.65,error: undefined method `first' for nil:NilClass,178432.66,error: undefined method `first' for nil:NilClass,15,25.28,0.943,10,true,35.1
146,5602248769681440707,33214.99,520,256137.92,error: undefined method `first' for nil:NilClass,54215.04,error: undefined method `first' for nil:NilClass,44,12.19,0.41,15,false,23.8
147,3572820372186364,39243.41,519,368566.34,error: undefined method `first' for nil:NilClass,107901.52,error: undefined method `first' for nil:NilClass,65,18.22,0.923,7,true,24.5
148,3566296756593376,25307.81,844,468732.88,error: undefined method `first' for nil:NilClass,30129.04,error: undefined method `first' for nil:NilClass,13,19.89,0.056,21,false,18.6
149,3579996805916917,6891.93,631,366477.19,error: undefined method `first' for nil:NilClass,154913.26,error: undefined method `first' for nil:NilClass,33,31.28,0.78,18,false,1.2
150,5002357898445573,20965.5,501,428622.28,error: undefined method `first' for nil:NilClass,2570.26,error: undefined method `first' for nil:NilClass,9,18.76,0.728,20,true,34.2
151,6706256673400729,41899.62,319,438973.6,error: undefined method `first' for nil:NilClass,6934.2,error: undefined method `first' for nil:NilClass,61,7.11,0.726,1,false,17.8
152,5602246646671206,18470.2,747,101413.11,error: undefined method `first' for nil:NilClass,72907.52,error: undefined method `first' for nil:NilClass,83,4.03,0.652,6,false,21.4
153,5250233420299425,18786.21,665,305055.71,error: undefined method `first' for nil:NilClass,128838.05,error: undefined method `first' for nil:NilClass,15,33.72,0.606,0,false,24.0
154,374288291371010,27612.85,460,46253.22,error: undefined method `first' for nil:NilClass,82671.97,error: undefined method `first' for nil:NilClass,67,18.28,0.375,21,false,30.3
155,5540210689820505,20035.55,493,252099.42,error: undefined method `first' for nil:NilClass,51444.98,error: undefined method `first' for nil:NilClass,51,17.04,0.212,19,false,14.3
156,3575550955693570,16572.44,686,285030.08,error: undefined method `first' for nil:NilClass,63829.15,error: undefined method `first' for nil:NilClass,36,23.91,0.166,22,false,11.4
157,490569891237070071,17506.77,571,317238.21,error: undefined method `first' for nil:NilClass,49461.31,error: undefined method `first' for nil:NilClass,20,3.64,0.302,13,true,18.4
158,6304584348744696524,38176.61,778,307605.66,error: undefined method `first' for nil:NilClass,137463.45,error: undefined method `first' for nil:NilClass,66,35.38,0.531,2,false,1.7
159,3558343447900196,46495.48,758,211305.15,error: undefined method `first' for nil:NilClass,33871.33,error: undefined method `first' for nil:NilClass,75,3.99,0.714,1,true,31.9
160,3530397306608350,5773.58,378,240502.14,error: undefined method `first' for nil:NilClass,165475.75,error: undefined method `first' for nil:NilClass,43,30.88,0.988,8,true,27.0
161,30323530672674,32383.55,797,364185.81,error: undefined method `first' for nil:NilClass,173293.26,error: undefined method `first' for nil:NilClass,84,22.98,0.345,12,true,22.0
162,4165652763886,9580.63,444,146892.23,error: undefined method `first' for nil:NilClass,105151.94,error: undefined method `first' for nil:NilClass,72,32.32,0.825,15,true,10.0
163,3548561133205272,29910.66,329,138241.52,error: undefined method `first' for nil:NilClass,141655.46,error: undefined method `first' for nil:NilClass,55,15.47,0.835,15,false,20.9
164,5002359616949530,4226.36,836,285815.44,error: undefined method `first' for nil:NilClass,40927.35,error: undefined method `first' for nil:NilClass,61,2.1,0.393,8,false,15.7
165,372301501811659,1001.45,661,317015.25,error: undefined method `first' for nil:NilClass,55772.91,error: undefined method `first' for nil:NilClass,38,13.46,0.513,0,true,1.3
166,502073423808832605,7766.13,306,344194.78,error: undefined method `first' for nil:NilClass,10606.55,error: undefined method `first' for nil:NilClass,57,21.38,0.789,11,true,16.2
167,3573760256820192,1583.17,367,470884.76,error: undefined method `first' for nil:NilClass,123695.22,error: undefined method `first' for nil:NilClass,74,35.42,0.477,23,true,21.3
168,30280695696999,37891.91,850,172335.54,error: undefined method `first' for nil:NilClass,142981.36,error: undefined method `first' for nil:NilClass,33,4.86,0.557,19,true,37.4
169,3585365940239670,37043.51,823,464121.38,error: undefined method `first' for nil:NilClass,184657.12,error: undefined method `first' for nil:NilClass,37,23.52,0.407,16,false,15.5
170,5464811927134021,36222.9,409,308971.25,error: undefined method `first' for nil:NilClass,22213.74,error: undefined method `first' for nil:NilClass,41,29.53,0.3,14,true,22.5
171,3585621166824805,28052.51,306,478384.22,error: undefined method `first' for nil:NilClass,153677.23,error: undefined method `first' for nil:NilClass,60,19.67,0.957,5,false,25.0
172,490568981698844089,26263.21,638,129015.99,error: undefined method `first' for nil:NilClass,72464.67,error: undefined method `first' for nil:NilClass,17,4.66,0.191,9,false,16.6
